iter	R2	RMSE
0	0.2982275708	371.5297856
1	0.496650386	314.6518982
2	0.6296499659	269.8992517
3	0.7205611364	234.4438741
4	0.779958339	208.0405261
5	0.8231145539	186.5269275
6	0.8577704256	167.2593641
7	0.8789249674	154.3202021
8	0.8941970929	144.2594547
9	0.9055279858	136.3160752
10	0.9139822135	130.0737369
11	0.919997118	125.4435402
12	0.9251259129	121.3560008
13	0.928136255	118.8913912
14	0.9313563915	116.1971668
15	0.9338990288	114.0248228
16	0.9360548034	112.1500443
17	0.9380178103	110.4152203
18	0.9409704738	107.7531896
19	0.9423992011	106.4411945
20	0.9443293653	104.6426122
21	0.9458104554	103.2412458
22	0.9481176063	101.0195637
23	0.9494256035	99.73804253
24	0.9503898149	98.7827039
25	0.9517051565	97.46436726
26	0.9532997242	95.84185458
27	0.954165705	94.94908063
28	0.9553881996	93.67427948
29	0.9563007875	92.71121898
30	0.9576358952	91.2839665
31	0.9583224348	90.54128545
32	0.9588543119	89.96169946
33	0.9599131203	88.79665628
34	0.9606340283	87.99459038
35	0.9611725386	87.39065297
36	0.9620048351	86.44893608
37	0.9627147277	85.63753252
38	0.9634145558	84.83003622
39	0.9640394054	84.10250237
40	0.9650526496	82.90917869
41	0.9664137341	81.27862487
42	0.967155352	80.37625961
43	0.9679075582	79.4505425
44	0.9684586322	78.76544799
45	0.9694166738	77.56000787
46	0.9698289443	77.03547047
47	0.9706978554	75.91807544
48	0.9710693566	75.43528446
49	0.9715469631	74.81002489
50	0.9719253212	74.31096211
51	0.9726903177	73.29153367
52	0.9732338004	72.55859128
53	0.9739613162	71.56571264
54	0.9742883683	71.11485108
55	0.9746550776	70.60589604
56	0.9749966091	70.12856317
57	0.9754814942	69.44524049
58	0.9760154011	68.68497049
59	0.976228425	68.37927072
60	0.9766932531	67.70742792
61	0.977143809	67.04978882
62	0.9775941824	66.38590569
63	0.9781155205	65.60902702
64	0.9785100621	65.01492509
65	0.9788370707	64.51836845
66	0.9791427081	64.05078338
67	0.9794862558	63.52109181
68	0.9797547964	63.10395228
69	0.9801598142	62.4695465
70	0.9805027638	61.92728103
71	0.9806527326	61.68865523
72	0.9810713077	61.01769423
73	0.981332728	60.59487772
74	0.9815817655	60.18932674
75	0.9817941369	59.84131414
76	0.9820844799	59.3622285
77	0.9824303749	58.78638206
78	0.9826931643	58.34509092
79	0.9828132983	58.14223957
80	0.9830030815	57.82033218
81	0.9831658445	57.54282155
82	0.9834084584	57.12666302
83	0.9836525513	56.70488556
84	0.9838011093	56.44664372
85	0.9839775543	56.13838181
86	0.9842935581	55.58202852
87	0.9845363845	55.15069715
88	0.9846578592	54.93365155
89	0.984797749	54.68263513
90	0.9850310061	54.26149959
91	0.9851549555	54.03637884
92	0.9853546971	53.67161515
93	0.9856759761	53.07964441
94	0.9857693187	52.90641469
95	0.9858937661	52.67457325
96	0.9860328592	52.41423372
97	0.9861054476	52.27785574
98	0.9862741763	51.95946787
