iter	Passed	Remaining
0	3	1971
1	6	1808
2	8	1776
3	11	1761
4	14	1710
5	16	1665
6	19	1630
7	21	1613
8	24	1612
9	27	1603
10	29	1597
11	32	1589
12	34	1574
13	37	1558
14	39	1550
15	42	1551
16	45	1548
17	47	1534
18	49	1528
19	52	1524
20	55	1521
21	57	1517
22	60	1512
23	62	1502
24	65	1498
25	67	1490
26	69	1482
27	72	1477
28	74	1473
29	77	1471
30	79	1468
31	82	1463
32	84	1458
33	87	1455
34	90	1453
35	92	1449
36	94	1442
37	97	1441
38	100	1441
39	102	1436
40	105	1431
41	107	1426
42	109	1418
43	112	1416
44	114	1411
45	116	1407
46	119	1401
47	121	1396
48	123	1394
49	126	1391
50	128	1387
51	132	1394
52	134	1390
53	137	1385
54	139	1384
55	142	1381
56	144	1377
57	147	1375
58	149	1371
59	152	1368
60	154	1362
61	156	1362
62	159	1360
63	162	1356
64	164	1353
65	166	1349
66	169	1344
67	171	1341
68	173	1337
69	176	1333
70	178	1330
71	181	1330
72	184	1329
73	186	1323
74	188	1321
75	191	1318
76	193	1314
77	195	1311
78	197	1305
79	200	1303
80	202	1299
81	205	1297
82	208	1295
83	210	1294
84	213	1291
85	215	1288
86	217	1283
87	220	1281
88	222	1277
89	225	1275
90	227	1272
91	229	1268
92	232	1265
93	234	1263
94	237	1260
95	239	1259
96	242	1257
97	244	1254
98	247	1250
99	249	1249
100	252	1247
101	254	1243
102	256	1239
103	259	1235
104	261	1233
105	264	1230
106	266	1227
107	268	1225
108	271	1222
109	273	1218
110	276	1216
111	278	1214
112	281	1211
113	283	1208
114	286	1207
115	288	1204
116	291	1202
117	293	1200
118	296	1198
119	298	1195
120	300	1191
121	303	1187
122	305	1185
123	307	1181
124	310	1180
125	312	1177
126	315	1174
127	318	1172
128	320	1169
129	322	1167
130	325	1164
131	327	1161
132	330	1159
133	332	1157
134	335	1155
135	337	1153
136	340	1149
137	342	1147
138	345	1145
139	347	1142
140	350	1140
141	352	1137
142	355	1136
143	358	1134
144	360	1130
145	362	1128
146	365	1126
147	367	1123
148	370	1120
149	372	1116
150	374	1114
151	377	1112
152	379	1109
153	382	1107
154	385	1105
155	387	1102
156	389	1099
157	392	1096
158	394	1093
159	396	1091
160	399	1089
161	401	1086
162	403	1083
163	406	1080
164	408	1077
165	411	1074
166	413	1072
167	416	1070
168	418	1068
169	421	1065
170	423	1062
171	426	1060
172	428	1058
173	431	1055
174	433	1053
175	436	1050
176	438	1048
177	441	1046
178	443	1044
179	446	1041
180	448	1038
181	451	1036
182	453	1033
183	456	1031
184	458	1029
185	460	1026
186	463	1023
187	465	1020
188	468	1018
189	470	1016
190	473	1013
191	476	1011
192	478	1009
193	480	1006
194	483	1003
195	485	1000
196	488	999
197	491	997
198	493	995
199	496	992
200	498	990
201	501	988
202	504	985
203	506	983
204	508	980
205	511	977
206	513	975
207	516	972
208	518	970
209	521	967
210	523	965
211	525	962
212	528	959
213	531	958
214	533	955
215	536	953
216	538	950
217	541	947
218	543	945
219	545	942
220	548	940
221	551	938
222	553	936
223	556	933
224	558	930
225	560	928
226	563	925
227	565	922
228	568	920
229	570	917
230	572	915
231	575	912
232	577	910
233	580	908
234	583	905
235	585	902
236	588	900
237	590	898
238	592	895
239	595	892
240	597	890
241	600	888
242	602	885
243	605	882
244	607	880
245	610	878
246	613	876
247	615	874
248	618	871
249	620	868
250	622	866
251	625	863
252	628	861
253	630	858
254	633	856
255	635	854
256	638	852
257	640	849
